Day	Time	Rs	Rn	PAR	Tair	RH	u	SatVapPr	VapPress	Battery	!water
104	2200	-0,4886	-31,744	-0,29225	10,8	93,725	0,14885	1,2945	1,2133	12,498	0,088
112	50	-0,08858	-18,759	-1,041	13,147	99,253	0,03304	1,5112	1,5	12,479	0,08
99	1050	140,35	88,641	279,1	14,786	93,771	0,13681	1,681	1,5759	12,499	0,2335
34	750	36,563	6,939	82,282	11,428	94,8	0,13218	1,3496	1,2795	12,676	0,251
62	950	345,86	195,3	777,07	19,771	84,566	0,19981	2,307	1,9462	12,613	0,4975
72	1850	253,08	115,67	508,97	21,524	72,796	0,81408	2,5687	1,8679	12,585	0,2785
82	650	-0,22293	-24,034	-0,12183	10,157	100,54	0,09512	1,2402	1,247	12,552	0,0555
66	2350	-1,0356	-22,032	-2,0809	18,714	80,592	0,48054	2,1573	1,7385	12,607	0,142
69	2300	0	-7,2298	-2,5498	16,686	97,772	0,04879	1,8983	1,8561	12,594	0,0585
57	100	-1,0598	-7,7126	-0,09736	18,4	86,345	0,35824	2,1153	1,8265	12,633	0,084
64	50	0	-14,288	0	12,714	99,319	0,13125	1,4689	1,4589	12,603	0,078
45	550	-0,12069	-5,1381	-3,2662	20,521	102,07	-0,05961	2,4137	2,4636	12,665	0,079
104	1100	217,22	142,43	457,58	17,848	82,46	0,65843	2,0436	1,6848	12,495	0,654
50	0	-0,14216	-7,4038	-1,0706	19,807	98,701	-0,0522	2,3094	2,2794	12,652	0,0615
57	550	-0,97125	-23,875	-0,45027	18,194	92,29	0,37585	2,0882	1,9271	12,627	0,1145
50	300	-0,20922	-2,2556	-0,75433	19,483	99,016	0,0386	2,2634	2,2411	12,652	0,043
81	1600	615,11	400,68	1308	23,231	57,448	1,105	2,8484	1,6356	12,571	0,6945
51	600	-0,01073	-0,62918	-0,34063	20,723	101,89	0,12662	2,4438	2,49	12,652	0,0575
118	2300	-0,02953	-5,8383	-0,13392	15,305	96,307	0,06825	1,738	1,6738	12,465	0,097
73	600	-0,34894	-15,11	-0,53567	17,447	100,75	0,4583	1,9921	2,0072	12,575	0,104
95	1200	301,91	194,2	606,6	18,718	66,216	0,53057	2,1581	1,4285	12,515	0,731
103	900	54,963	24,456	122,88	16,935	101,37	1,0003	1,9286	1,9551	12,502	0,3155
